Missão Foco Rápido,2024,Treinar atenção sustentada e tempo de resposta.,tdah,Cognify Labs,Educativo TDAH
Circuito da Atenção,2024,Treinar alternância de foco e autocontrole.,tdah,Cognify Labs,Educativo TDAH
Sequência Zen,2024,Organizar etapas e reduzir distrações.,tdah,Cognify Labs,Educativo TDAH
Impulso Controlado,2024,Exercitar controle de impulsividade com feedback visual.,tdah,Cognify Labs,Educativo TDAH
Memória de Emoções,2024,Identificar emoções e expressões faciais simples.,tea,Cognify Labs,Educativo TEA
Rotina Visual,2024,Montar sequências de rotina com apoio visual.,tea,Cognify Labs,Educativo TEA
Histórias Sociais,2024,Simular situações sociais com escolhas guiadas.,tea,Cognify Labs,Educativo TEA
Labirinto Calmo,2024,Trabalhar planejamento e tolerância à espera.,tea,Cognify Labs,Educativo TEA
Letras em Movimento,2024,Reconhecer letras e sílabas com apoio visual.,dislexia,Cognify Labs,Educativo Dislexia
Caça-Sílabas,2024,Reforçar leitura por blocos e combinação silábica.,dislexia,Cognify Labs,Educativo Dislexia
Som das Palavras,2024,Estimular consciência fonêmica e rimas.,dislexia,Cognify Labs,Educativo Dislexia
Palavra Quebra-Cabeça,2024,Formar palavras por partes com desafios progressivos.,dislexia,Cognify Labs,Educativo Dislexia
